%Information über den Chatbot & Small Talk
Mein_Name;Mein Name ist CLaire CLever.
Chatbot;Ich bin ein Chatbot. Auch Chatbots dürfen studieren, oder?
Mein_Fragenspektrum;Ich kann verschiedene Fragen beantworten: Fragen zur Computerlinguistik, zum Studium an der Universität Zürich und zu mir selber. Zudem kann ich Definition von Wikipedia abrufen. Teste dies mit 'Was ist XY?'.

%Informationen zu Computerlinguistik/Sprachtechnologie
Computerlinguistik;Die Computerlinguistik ist eine junge Disziplin im Überschneidungsbereich von Sprachforschung und Informatik. Sie untersucht, wie die menschliche Sprache als Mittel zur Übermittlung, Speicherung und Verarbeitung von Information verwendet wird, und wie man diese Prozesse auf dem Computer modellieren und für konkrete Anwendungen nutzbar machen kann.
Sprachtechnologie;Wenn die praktische Entwicklung von Werkzeugen interessiert, die in verschiedenen Phasen der automatischen Verarbeitung natürlicher Sprachen eingesetzt werden, spricht man meist von Sprachtechnologie.
Anwendungsgebiete_der_CL;Typische Anwendungsgebiete der Computerlinguistik sind Maschinelle Übersetzung, Machine Learning für NLP (Natural Language Processing), Dialogsysteme (Chatbots), Medieninhaltsanalyse (Media Contant Analysis), Informationsextraktion (Text Mining), Sentiment-Analyse (Opinion Mining), Automatische Textvereinfachung und Textzusammenfassung, E-Accessibility, Texttechnologie für historische Texte (Digital Humanities).
Jobaussichten_in_CL;Für Computerlinguisten bieten sich vielfältige Einsatzfelder in Bereichen der Sprachtechnologie. Während bis in die 80er Jahre Computerlinguisten vor allem in der Forschung arbeiteten, finden sich in den letzten Jahren vermehrt Stellen in der Industrie, wie z.B. bei Übersetzungsabteilungen grosser Unternehmen, Softwarehäusern (insbesondere im Bereich der Übersetzerhilfsmittel und Information Retrieval), Verlagen und Bibliotheken. Siehe auch: https://www.cl.uzh.ch/de/texttechnologies/what-is-cl/berufsaussichten.html
Schwierigkeiten;Sprache ist sehr komplex, denk mal an die Missverständnisse, welche bei menschlicher Kommunikation entstehen. Für Computer ist das natürlich alles noch viel schwieriger. Stichworte dazu, welche dich während deiner ganzen CL-Karriere Begleiten werden sind zum Beispiel Ambiguitäten, Homophone, Ironie, Code-Switch, etc.

%Informationen zu einem Studium an der UZH
Bachelor_Studiumdauer;Ein Bachelor-Studium dauert im Normalfall 6 Semester.
Master_Studiumdauer;Ein Master-Studium dauert im Normalfall 4 Semester.
Urlaubssemester;Urlaubssemester müssen über das Studierendenportal beantragt werden, 
Auslandsemester;Auslandsemester mit ERASMUS ist auch im Computerlinguistikstudium möglich, bitte informiere dich über die Webseite: https://www.cl.uzh.ch/de/studium/studies-tt/erasmus.html
Semestergebühren;Die Semestergebühren betragen im Normalfall 720 CHF, wobei es zusätzliche Zuschläge gibt für BildungsausländerInnen (siehe: https://www.uzh.ch/cmsssl/de/studies/application/fees.html). 
Sport;Der Unisport der UZH bietet ein vielfältiges Angebot von 120 Sportarten in 48 Sportanlagen in und um Zürich an. Siehe: https://asvz.ch
Standorte;Die UZH hat viele Standorte (https://www.uzh.ch/cmsssl/de/about/info/sites.html). Das Institut für Computerlinguistik ist am Standort Oerlikon im AND. Ein Teil der Phonetik ist im Uniturm untergepracht.
Modulbuchung;Buche deine Module innerhalb der Frist! Beachte die offiziellen Informationen auf der UZH Webseite: https://www.students.uzh.ch/de/booking.html. Da findest du auch den Link zur Online-Modulbuchung.
Semesterdaten;Die aktuellen Semesterdaten findest du immer unter https://www.uzh.ch/cmsssl/de/studies/dates/dates.html.
Vorlesungsverzeichnis;Das Vorlesungsverzeichnis der UZH findest du unter https://studentservices.uzh.ch. Der CL-Stundenplan gibt dir eine Übersicht über die CL-Vorlesungen: https://www.cl.uzh.ch/de/studium/studies-tt/studies-1/HS2019.html. 
Fristen;Jede Fakultät der UZH hat eigene Fristen! Diejenigen der Philosophischen Fakultät findest du unter https://www.phil.uzh.ch/de/studium/studentservices/termine.html. Beachte, dass die Fristen für Informatikmodule davon abweichen, da für diese die Fristen der Wirtschaftswissenschaftlichen Fakultäten gelten.
Studiengänge;Computerlinguistik und Sprachtechnologie kann im Bachelor und im Master als Haupt- oder Nebenfach studiert werden. Zudem gibt es für Studierende ohne Bachelor-Vorkenntnisse in der CL die Möglichkeit, das Nebenfach Digital Linguistics zu buchen. Alle Informationen zu den CL-Studienmöglichkeiten findest du hier: https://www.cl.uzh.ch/de/studium/studies-tt/degrees.html.
Prüfungsdaten;Die Prüfungen der Computerlinguistikmodule finden im Normalfall ca. Zwei Wochen nach Semesterende statt.
Öffnungszeiten;Die Öffnungszeiten der UZH Gebäude findest du auf folgender Seite: https://www.uzh.ch/cmsssl/de/about/info/hours.html.
Shuttle;Die UZH bietet 2-3 mal pro Tag einen Shuttlebus zwischen den Standorten Zentrum und Oerlikon an. Den Fahrplan findest du hier: https://www.uzh.ch/cmsssl/de/studies/dates/shuttle.html.
Vorlesungszeiten;Die Anfangszeiten für Lehrveranstaltungen an der UZH findest du hier: https://www.uzh.ch/cmsssl/de/studies/dates/schedule.html. Sie unterscheiden sich von den Anfangszeiten der Stunden an der ETH.
Module_an_ETH;Grundsätzlich gibt es die Möglichkeit, ETH Lehrveranstaltungen, die mit deinem Studium im Zusammenhang stehen, zu besuchen. Dafür musst du dich an der ETH als Fachstudierender registrieren, siehe: https://ethz.ch/de/studium/non-degree-angebote/fachstudierende/fachstudierende_uzh.html. Kläre aber unbedingt vorher mit dem Studienberater ab, ob du dir diese Punkte anrechnen lassen kannst für dein CL Studium.
Betreuer_Arbeit;Auf der CL-Webseite findest du offene Themen für Arbeiten. Bei Interesse, melde dich beim jeweiligen Betreuer. https://www.cl.uzh.ch/de/studium/studies-tt/teaching/proof-accomplishment/BaMasterArbeit.html
Leistungsübersicht;Hier geht es zum Login deiner Leistungsübersicht: https://www.students.uzh.ch/de/record/uebersicht.html.
Wohnen;Eine Wohnung zu finden in Zürich ist nicht ganz trivial. Die UZH gibt ihr bestes, dich dabei zu unterstützen. Schau mal hier rein: https://www.uzh.ch/studies/studentlife/accomodation.html
Passwörter;Deine UZH Passwörter verwaltest du über den Identity Manager, hier geht’s zur Anleitung & Übersicht: https://www.zi.uzh.ch/de/students/password-account/manage-password.html.
technische_Probleme;Wende dich für technische Probleme an den Support der zentralen Informatik: https://www.zi.uzh.ch/de/support.html.
Wifi;Als Student hast du an der UZH Zugang zum WLAN oder auch Eduroam. Hier findest du Anleitungen für die Einrichtung: https://www.zi.uzh.ch/de/support/netzwerk.html.
Drucker_und_Scanner;UZH Pring Plus ermöglicht Studierenden die Nutzung der Multifunktionsgeräte an verschiedenen Standorten. Scans sind kostenlos, zum Drucken muss man Guthaben aufladen. Details findest du hier: https://www.zi.uzh.ch/de/students/workplace-collaboration/uzhprintplus/4students.html
